title,type,review,tag,link
Cards Against Security,Board Game,This game is a remix of the popular Cards Against Humanity card game centered around security concepts. The adlib style cards have been reworked to introduce security terms and concepts.,engaging-easy,
Security Cards,Board Game,"Developed by University of Washington this game gives players an opportunity to explore cybersecurity threats from multiple perspectives. The cards have four categories: human impact, adversary’s motivation, adversary’s resources, adversary’s methods. Within these categories, the cards give example scenarios and ideas to jumpstart group games and discussion.",engaging-experienced,
Dx03D,Board Game,"A tabletop turn-based security game focused on informally introducing students to cybersecurity concepts. The flow of the game requires players to act as attackers at some points, compromising and looting the other team’s infrastructure, and as defenders other times, attempting to patch exploitations and secure against further attacks.",hard,
Stratego,Board Game,Stratego is a turn-based strategy board game where opposing armies attempt to secure the other team’s flag. This game has a defensive and offensive component where you must strategize where to place your pieces and where to attack your opponent.,strategygame,
Hacker,Board Game,"In Hacker, players work together to solve progressively harder puzzles. These puzzles follow the flow of creating a program, attack incident and subsequent incident response. As the puzzles get more difficult other obstacles are added forcing players to continuously think outside of the box.",uneffective-hard,
Harry Potter Escape Room ,Escape Room,This is a 20 -25 escape room with 4-5 stations where puzzles are based on harry potter theme and have been designed with help of students,engaging-easy,
Cyber Threat Defenders,Board Game,This card game enables students to learn concepts but is hard to get started with.,hard,
Harry Python,Board Game,"The board game mimics the mind of a hacker (how they hack) and lets people be more observant to prevent from being hacked in the future. The board game is a circle with different colored spaces. Each color has a different scenario and hacking techniques that players need to learn and use to solve a problem(e.g. blue = cryptography, red = steganography etc.). By doing this we hope people learn about hackers and hacking techniques and will be vary about hackers the next time they are online.",student developed,
Cyber Valley,Board Game,"This Cyber Security based Oregon Trail game will teach players about cyber threats, the importance of having secured systems, and difficulties new businesses face. Along the way, players will also gain valuable teamwork, leadership, management, and communication skills.",student developed,
Slyther-in-Code,Board Game,"The project is Clue-hacker edition, and it informs about cyber security and hacking. In the game of Clue, there is one murderer, one weapon, and the room where it happened. Our version of Clue will include a hacker, method of attack, and the IP address of the hacker. The game raises awareness for cyber attacks; potentially, it has a positive effect on players. The goal is to make people aware of where they are putting their personal information. Our project will provide clues to a player to help solving the mystery of who, how, and where they got hacked.",student developed,
